date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:39	337796/337796	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/garden/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/garden/index.html	(from https://photoadking.com/templates/)
13:34:40	337804/337804	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/women-conference/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/women-conference/index.html	(from https://photoadking.com/templates/)
13:34:40	9948/9948	---M--	200	added ('OK')	text/html	etag:%2226dc-5ca3390b32409%22	https://photoadking.com/images/vg-resources/get_creative.webp	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/get_creative.html	(from https://photoadking.com/create/video-templates/)
13:34:40	338117/338117	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/digital-marketing/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/digital-marketing/index.html	(from https://photoadking.com/templates/)
13:34:40	338153/338153	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/jewelry/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/jewelry/index.html	(from https://photoadking.com/templates/)
13:34:40	14107/14107	---M--	200	added ('OK')	image/png	etag:%22371b-5ca3390b32409%22	https://photoadking.com/images/vg-resources/get_creative.png	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/get_creative.png	(from https://photoadking.com/create/video-templates/)
13:34:40	338566/338566	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/audition/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/audition/index.html	(from https://photoadking.com/templates/)
13:34:41	337831/337831	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/essential-oil/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/essential-oil/index.html	(from https://photoadking.com/templates/)
13:34:41	338119/338119	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/accounting/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/accounting/index.html	(from https://photoadking.com/templates/)
13:34:41	133808/133808	---M--	200	added ('OK')	text/html	etag:%2220ab0-5ca3390b32409%22	https://photoadking.com/images/vg-resources/icpn.webp	C:/scraped%20websites/photoadking/photoadking.com/images/vg-resources/icpn.html	(from https://photoadking.com/create/video-templates/)
13:34:41	338109/338109	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2007:38:39%20GMT	https://photoadking.com/templates/flyers/class/	C:/scraped%20websites/photoadking/photoadking.com/templates/flyers/class/index.html	(from https://photoadking.com/templates/)
